tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,Date
235,50:17.9,54:13.2,3269,Brunswick & 6th,40.72601173,-74.05038893,3279,Dixon Mills,40.72163014,-74.04996783,42439,Customer,1970,0,Apr-21
414,55:25.7,02:20.5,3639,Harborside,40.7192517,-74.034234,3279,Dixon Mills,40.72163014,-74.04996783,40093,Customer,1970,0,Apr-21
721,55:50.0,07:51.4,3203,Hamilton Park,40.72759597,-74.04424731,3184,Paulus Hook,40.7141454,-74.0335519,46487,Subscriber,1983,1,Apr-21
260,56:49.2,01:10.1,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,43824,Customer,1970,0,Apr-21
604,58:28.9,08:33.7,3195,Sip Ave,40.7308971,-74.06391263,3210,Pershing Field,40.74267714,-74.05178863,41618,Customer,1970,0,Apr-21
122,59:24.4,01:27.0,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,46410,Customer,1970,0,Apr-21
953,01:07.7,17:00.8,3187,Warren St,40.7211236,-74.03805095,3187,Warren St,40.7211236,-74.03805095,42494,Customer,1970,0,Apr-21
181,06:27.4,09:29.3,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,44907,Customer,1970,0,Apr-21
376,07:07.1,13:23.5,3209,Brunswick St,40.7241765,-74.0506564,3185,City Hall,40.7177325,-74.043845,46627,Customer,1970,0,Apr-21
118,09:16.3,11:14.5,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,39598,Customer,1970,0,Apr-21
418,15:47.0,22:45.5,3272,Jersey & 3rd,40.72333159,-74.04595256,3202,Newport PATH,40.7272235,-74.0337589,44556,Customer,1970,0,Apr-21
678,18:43.5,30:02.3,3681,Grand St,40.71517768,-74.03768331,3192,Liberty Light Rail,40.7112423,-74.0557013,45352,Customer,1970,0,Apr-21
184,26:46.4,29:51.3,3276,Marin Light Rail,40.71458404,-74.04281706,3205,JC Medical Center,40.71653978,-74.04963791,38392,Customer,1970,0,Apr-21
608,28:09.3,38:17.7,3272,Jersey & 3rd,40.72333159,-74.04595256,3192,Liberty Light Rail,40.7112423,-74.0557013,38891,Customer,1970,0,Apr-21
371,34:49.3,41:00.4,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,43369,Customer,1970,0,Apr-21
243,36:32.5,40:35.5,3201,Dey St,40.737711,-74.066921,3640,Journal Square,40.73367,-74.0625,29983,Customer,1970,0,Apr-21
521,42:47.2,51:28.7,3209,Brunswick St,40.7241765,-74.0506564,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,41002,Customer,1970,0,Apr-21
181,43:35.4,46:36.6,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,44872,Customer,1970,0,Apr-21
1249,43:40.7,04:30.4,3213,Van Vorst Park,40.71848892,-74.04772663,3213,Van Vorst Park,40.71848892,-74.04772663,40440,Subscriber,1970,1,Apr-21
